name,area
SuperScan (HAADF) 42,4.0
SuperScan (HAADF) 42,1.0
SuperScan (HAADF) 42,1.5
SuperScan (HAADF) 42,1.0
SuperScan (HAADF) 42,1.0
SuperScan (HAADF) 42,7.5
SuperScan (HAADF) 42,6.0
SuperScan (HAADF) 42,7.0
SuperScan (HAADF) 42,7.5
SuperScan (HAADF) 42,8.5
SuperScan (HAADF) 42,15.0
SuperScan (HAADF) 42,1.5
SuperScan (HAADF) 42,12.5
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,16.0
SuperScan (HAADF) 42,19.0
SuperScan (HAADF) 42,2.5
SuperScan (HAADF) 42,12.5
SuperScan (HAADF) 42,13.5
SuperScan (HAADF) 42,34.5
SuperScan (HAADF) 42,21.0
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,6.5
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,33.5
SuperScan (HAADF) 42,27.5
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,36.0
SuperScan (HAADF) 42,7.0
SuperScan (HAADF) 42,9.0
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,2.5
SuperScan (HAADF) 42,36.0
SuperScan (HAADF) 42,27.0
SuperScan (HAADF) 42,25.0
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,7.0
SuperScan (HAADF) 42,1.5
SuperScan (HAADF) 42,6.0
SuperScan (HAADF) 42,45.0
SuperScan (HAADF) 42,46.0
SuperScan (HAADF) 42,40.5
SuperScan (HAADF) 42,37.0
SuperScan (HAADF) 42,28.5
SuperScan (HAADF) 42,37.5
SuperScan (HAADF) 42,36.0
SuperScan (HAADF) 42,17.0
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,32.0
SuperScan (HAADF) 42,14.5
SuperScan (HAADF) 42,5.0
SuperScan (HAADF) 42,27.0
SuperScan (HAADF) 42,30.5
SuperScan (HAADF) 42,42.0
SuperScan (HAADF) 42,29.0
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,50.5
SuperScan (HAADF) 42,18.5
SuperScan (HAADF) 42,33.0
SuperScan (HAADF) 42,30.0
SuperScan (HAADF) 42,36.0
SuperScan (HAADF) 42,10.0
SuperScan (HAADF) 42,26.5
SuperScan (HAADF) 42,26.5
SuperScan (HAADF) 42,20.5
SuperScan (HAADF) 42,58.5
SuperScan (HAADF) 42,7.5
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,28.0
SuperScan (HAADF) 42,16.5
SuperScan (HAADF) 42,19.5
SuperScan (HAADF) 42,30.5
SuperScan (HAADF) 42,3.0
SuperScan (HAADF) 42,40.5
SuperScan (HAADF) 42,20.0
SuperScan (HAADF) 42,13.5
SuperScan (HAADF) 42,2.0
SuperScan (HAADF) 42,5.5
SuperScan (HAADF) 42,22.5
SuperScan (HAADF) 42,14.0
SuperScan (HAADF) 42,39.0
SuperScan (HAADF) 42,1.5
